company_id,broker_id,name,licence_number,year_founded,employees,headquarters,description,offices
11,14,"Notesco Limited,  Notesco Financial Services Limited, Notesco UK Limited","CySEC no. 125/10, FCA UK no. 585561",2010,1400,Cyprus,"<p><img alt="""" src=""/upload/Imagini_Descriere/ironfx-banner.jpg"" style=""float:left; height:250px; width:300px"" />IronFX was founded in 2010 with the mission to deliver the best trading conditions for both retail and institutional traders.</p>

<p>Committed to expanding its investment products and enhancing its customer service, IronFX has remained true to its vision, winning multiple awards and growing to become the Global Leader in Online Trading. IronFX strives to create a solid trading environment, which allows you to trade Forex CFDs with competitive spreads and robust backing from our in-house team of industry experts.</p>

<p>Dedicated to exceptional customer service, IronFX has striven to develop an unparalleled trading solution offering over 300 tradable instruments from 6 asset classes available on one single platform.</p>

<p>With trades executed in milliseconds, flexible trading leverage and the lowest market spreads, IronFX has set the standard as a high-quality and customer-centric business.</p>","Argentina, Australia, Azerbaijan, Brazil, Chile, China, Cyprus, Czech Republic, Greece, Hungary, India, Indonesia, Malaysia, New Zealand, Nigeria, Peru, Philippines, Poland, Portugal, Russian Federation, South Africa, Spain, Ukraine, United Kingdom, United States, Uruguay, Vietnam"
12,15,"TF Global Markets (UK) Limited & TF Global Markets (Aust) Pty Ltd, Think Capital Limited, TFG (Payments) Limited","ASIC 424700, FCA UK 629628",2010,50+,Australia,"<p><img alt="""" src=""/upload/Imagini_Descriere/ThinkMarkets_description.png"" style=""float:left; height:268px; width:300px"" />Our mission is to facilitate a world-class foreign exchange, metal and contracts for difference trading environment.</p>

<p>We are dedicated to providing industry-leading technology to the international trading community and we strive to deliver educational tools and resources that enable traders to further develop their trading skills.</p>

<p>ThinkMarkets is committed to upholding the trust and confidence of our clients by adhering to all applicable regulation and providing unparalled customer service.<br />
<br />
To accomplish this mission, we focus on selecting and servicing the best combination of trading platforms, trading services, education, and news&nbsp;for our diverse client base. We work with trusted partners to bring this to our clients 24 hours a day.&nbsp;</p>
","Australia, United Arab Emirates, United Kingdom"
13,16,"FX Central Clearing Ltd","<a href=""http://www.fxcc.com/license"">CySEC 121/10</a>",2010,15+,Cyprus,"<p><img alt="""" src=""upload/Imagini_Descriere/FXCC_description.png"" style=""float:left; height:120px; width:300px"" />FXCC is a regulated Foreign Exchange Broker that offers a wide range of trading technologies and services. Our ECN/STP business model allows our clients to take advantage of transparent real-time pricing. All our clients have access to a unique Forex Trading environment that offers sophisticated STP (Straight Through Processing) liquidity, execution and trading functionality. Our Non-dealing desk model allows client orders to be executed automatically and instantaneously through our Market network of liquidity providers.</p>

<p>FXCC&rsquo;s business model (ECN/STP) offers complete anonymity, full transparency, advanced execution, direct and competitive market prices and spreads. This creates a trading environment with no re-quotes and no conflict of interests or bias against any trader or forex trading system including automated systems and forex scalping.</p>
",Cyprus
14,19,"Windsor Brokers (SC) Limited, Windsor Solutions Ltd, Windsor Brokers (BZ) Ltd, Seldon Investments Limited","FSA SC SD072, IFSC 137226, CySEC 030/04, JSC 18/01855/1/3",1988,120+,Cyprus,"<p><img alt="""" src=""/upload/Imagini_Descriere/WindsorBrokers-description.png"" style=""float:left; height:183px; width:220px"" />Windsor Brokers is a leading European Investment Firm that offers online trading to retail and corporate clients from over 80 countries worldwide.</p>

<p>Windsor Brokers offers over 620,000 financial derivatives and assets including FX, Gold, Silver, Crude Oil, CFDs, DAX, Stocks, ETFs, Bonds, Options, FOPs, SSFs &amp; EFPs, Mutual Funds and Warrants. These can be traded on the Windsor MT4 (Metatrader).</p>

<p>Windsor Brokers is licensed and regulated by CySec (Cyprus), EEA authorized by regulatory bodies of all EU member states.</p>

<p>The Company&rsquo;s capital adequacy ratio (CAR) is currently at 59%, one of the highest in the FX industry worldwide. Over the years, Windsor Brokers has received international awards for its innovative products, services, partnership programs and customer support excellence.</p>","Belize, Jordan, Seychelles"
15,20,"Orbex Limited, Orbex Global Limited","<a href=""https://www.fscmauritius.org/en/being-supervised/register-of-licensees/register-of-licensees-details?licence_no=C118023330&key=&cat=GB&code="">FSC MU</a>, <a href=""https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/37624/"">CySEC 124/10</a>",2010,250+,Cyprus,"<p><img alt="""" src=""/upload/Imagini_Descriere/Orbex_description.png"" style=""float:left; height:140px; width:280px"" />As we continue to grow internationally and establish ourselves as a global brand, our main priority will remain your profitability, your success and your happiness as our clients &ndash; and it always will be.</p>

<p>Being an industry leader is more than just leveraging the latest technologies. Our experienced staff is made up of a group of honest, reliable and hardworking professionals whose goal is all-encompassing support of our clients. With our priority of immediate response to your questions and willingness to expand both our knowledge base and yours, we are propelling Orbex to a market leader in innovation and customer service.</p>

<p>Fully licensed and regulated, our trading expertise encompasses currencies, precious metals, commodities, CFDs and Futures. With a well-equipped head office located in Limassol, Cyprus and a highly experienced team from all backgrounds, Orbex LTD is a truly diverse, inclusive and international company.</p>","Cyprus, Kuwait"
16,21,"Triple A Experts SA","HCMC 2/540/17.02.2010",2006,50+,"United States of America","<p><img alt="""" src=""upload/Imagini_Descriere/ZuluTrade_description.png"" style=""float:left; height:192px; width:350px"" />ZuluTrade was founded in 2007 by Leon Yohai, and created in response to the non-existence of a web-based platform that could audit traders globally and at the same time; enable traders to share their knowledge with people interested in their strategies.</p>

<p>The ZuluTrade Platform bridged the gap between valuable information in money markets and trade execution by converting the advice of some of the most professional and talented traders globally, to a service which can rapidly execute trades. An additional advantage of the Platform is that it provides the ability and ease of driving selected trades to broker accounts of the interested parties. The concept of ZuluTrade is to offer an open environment, where traders on a global-level can connect any trading platform and share their knowledge.</p>
","Hong Kong, United States of America"
17,22,"Triple A Experts Investment Services Single Member SA, Sikhula Venture Capital (Pty) Ltd.","HCMC No. 2/540/17.02.2010, FSCA ZA No. 2017/315029/07",2012,80+,"Greece, South Africa","<p><img alt="""" src=""/upload/Imagini_Descriere/aaafx-banner.png"" style=""float:left; height:150px; width:400px"" />AAAFx has more than a decade long history of providing to their global clients with reliable and excellent service. AAAFx establishes full transparency with their clients, so that they can make well informed decisions.</p>

<p>AAAFx knows what it takes to be a successful trader, and hence aim to provide top notch trading conditions and customer support to their clients. They are proud to be one of the most trusted brokers in forex market, serving retail as well as institutional clients.</p>

<p>AAAFx management is a team of strong-minded professionals who have vast experience working on the Wall Street. Hence, they know exactly what it takes to be a successful trader. With their experience and background, they have the knowledge of all the industry best-practices, as well as the malpractices that plague the industry.</p>

<p>AAAFx is on solid grounds, as they foster a value-based environment in all of their offices, which is driven by their management&rsquo;s strong belief in business ethics.</p>

<p>There are satisfied clients in more than&nbsp;176 countries,&nbsp;taking advantage of their world-class services.</p>",N/A
18,23,"FxPro Group Limited, FxPro Financial Services Ltd, FxPro UK Limited, FxPro Global Markets Limited","<a href=""https://www.scb.gov.bs/registrant-licensee-search/"">SIA-F184</a>, <a href=""https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMTlsAAH"">509956</a>, <a href=""http://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/37670/"">078/07</a>",2006,200+,"United Kingdom, Cyprus, Bahamas","<p><img alt="""" src=""/upload/Imagini_Descriere/FxPro_description.jpg"" style=""float:left; height:225px; width:300px"" />FxPro was founded in 2006 and has since become one of the leading online brokers in the industry. FxPro offers Contracts for Difference (CFDs) on forex, futures, indices, shares, spot metals and energies.</p>

<p>FxPro clients benefit from access to a deep pool of liquidity and superior trade execution with no-dealing-desk intervention.</p>

<p>FxPro offers a range of trading platforms, trading instruments and services to suit all trader demands, while guaranteeing the safety and segregation of deposited funds. The broker also operates under the Negative Balance Protection policy which, albeit not a regulatory requirement, ensures that clients will never lose more than their original investment. In addition, FxPro provides clients with 24/5 multi-lingual customer support, educational resources and trading tools to help them become better traders.</p>

<p>FxPro Group Limited is the holding company of FxPro Financial Services Ltd, FxPro UK Limited and FxPro Global Markets Ltd. FxPro UK Limited is authorised and regulated by the Financial Conduct Authority (<a href=""https://register.fca.org.uk/ShPo_FirmDetailsPage?id=001b000000NMTlsAAH"" rel=""nofollow noopener"" target=""_blank"">registration no. 509956</a>). FxPro Financial Services Ltd is authorised and regulated by the Cyprus Securities and Exchange Commission (<a href=""http://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/37670/"" rel=""nofollow noopener"" target=""_blank"">licence no. 078/07</a>) and authorised by the Financial Sector Conduct Authority (&#39;FSCA&#39;) (<a href=""https://promo.fxpro.group/fsb.html"" rel=""nofollow noopener"" target=""_blank"">authorisation no. 45052</a>). FxPro Global Markets Ltd is authorised and regulated by the SCB (<a href=""https://www.scb.gov.bs/registrant-licensee-search/"" rel=""nofollow noopener"" target=""_blank"">license no. SIA-F184</a>).</p>",Monaco
19,24,"FxNet Ltd","<a href=""http://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/37671/"">CySEC 182/12</a>",2012,50+,Cyprus,"<p><img alt="""" src=""upload/Imagini_Descriere/FxNet_description.jpg"" style=""float:left; height:199px; width:260px"" />As a global, fully licenced STP broker FxNet offers unparalleled trading conditions designed to meet all realistic expectations from both professional and new traders. From the headquarters in Limassol FxNet has created a secure trading network consisting of high end trading technology and prestigious partnerships all of which enable FxNet to be a secure, transparent and reliable broker.&nbsp;</p>

<p>FxNet is run and managed by experienced professionals with over a decade&rsquo;s worth of experience in the financial industry all of which resulted in the knowledge that a worthy broker is one which innovatively delivers fast execution and exceptional customer service keeping the client on the front line of priority. With that in mind FxNet aspires to continuously improve its services and always move to the higher end of the customer satisfaction spectrum.&nbsp;</p>
",Cyprus
20,25,"FXOpen Markets Limited, FXOpen AU Pty Ltd, FXOpen Ltd","FinCom 42235",2005,300+,"Saint Kitts and Nevis","<p><img alt="""" src=""/upload/Imagini_Descriere/FXOpen_description.jpg"" style=""float:left; height:151px; width:260px"" />FXOpen was the first Forex broker to offer its clients ECN trading via the Meta Trader 4 terminal. And with FXOpen&#39;s unique proprietary price aggregating technology our clients can benefit from the industry&#39;s most competitive spreads and low trading commissions. In addition, with our One Click Trading and Level 2 MT4 plug-in, traders can also place trades with just one click of the mouse.</p>

<p>In 2014 FXOpen continued to set the pace with its latest technologies and offered its retail and b2b clients Bitcoin trading.</p>

<p>Our clients can choose from a variety of trading accounts (STP, Micro, ECN and free unlimited demo accounts) and enhance their trading capabilities with Myfxbook and Zulutrade automated trading systems. FXOpen also offers its own PAMM technology allowing our clients to benefit from the strategies of experienced traders with a proven track record of successful trading and guarantees automatic distribution of profit and loss between the strategy provider and the strategy followers. We also welcome Islamic traders and let them take advantage of Forex trading without violating Sharia law by offering them SWAP free accounts.</p>","Australia, Egypt, New Zealand, Russia, Saint Kitts and Nevis, United Kingdom"
21,27,"Pepperstone Financial Pty Ltd, Pepperstone Limited","<a href=""http://www.search.asic.gov.au/cgi-bin/gfs010c?origin=flb&licence_no=223682&role_type=FL&cond_sdate=&cond_stime=&rep_no=389931&a7=&a8=&a9=&a10=&a11=&a12=&a13=&start_date=20101201"">ASIC 414530</a>, FCA UK 684312",2010,50+,Australia,"<p><img alt="""" src=""upload/Imagini_Descriere/pepperstone_asset.jpeg"" style=""float:left; height:140px; width:247px"" />Pepperstone assists retail and institutional investors in using forex and other instruments as an asset class and part of their investment objectives. We strive to offer the best trading platforms with access to low-cost pricing, reliable trading infrastructure, fast execution and exceptional client support. Pepperstone offers direct access to multiple destinations of liquidity in the forex markets without the usual burdens of a deal desk that&nbsp;had previously been unavailable to the retail investor.</p>

<p>Pepperstone was founded in 2010 by a veteran management-team with years of experience in the forex and technology industries. The company is based in Melbourne, Australia and has offices in Dallas, USA and Shanghai, China.</p>
","Australia, China, United Kingdom, United States of America"
22,28,"FXCL Markets Ltd","<a href=""http://www.fxclearing.com/files/Documents/License%20FXCL%20001.jpg"">VFSC 14610",2014,250+,Vanuatu,"<p><img alt="""" src=""upload/Imagini_Descriere/FXCL_description.jpg"" style=""float:left; height:173px; width:300px"" />FXCL Markets Ltd. is a brokerage company dedicated to servicing your investment needs and committed to helping you pursue your financial goals. FXCL Markets Ltd. was registered in Belize and is fully regulated by Belize International Financial Services Commission. Thus, the company is entitled to carry on brokerage activity, make deals and conduct transactions at the global currency market.</p>

<p>FXCL Markets always keeps up with modern technologies, regularly expands the range of trading currencies and financial instruments, and uses up to date software. We currently offer the most popular platform for online trading &ldquo;Meta Trader 4&rdquo; to help our clients access their personal accounts and quotes from anywhere around the world. Along with advanced information technologies and qualitative software we provide our clients with high-level brokerage services.</p>
","Bangladesh, Brazil, China, Indonesia, Laos, Kenya, Malaysia, Philippines, Thailand, Ukraine, Vanuatu"
23,29,"Liteforex (Europe) Ltd, LiteForex Investments Limited","CySEC 093/08",2008,150+,Cyprus,"<p><img alt="""" src=""upload/Imagini_Descriere/LiteForex_description.png"" style=""float:left; height:144px; width:300px"" />Our company was founded in 2005 to make the Forex market accessible, safe, easy and profitable for you anywhere in the world.</p>

<p>Focusing on these purposes, we were the first to create the cent accounts service with initial deposit of 1$ only. Thanks to it, Forex became accessible for hundreds of thousands of clients. This service that had been never provided before changed the history of Forex development.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>

<p>Nowadays LiteForex is one of leading brokerage companies uniting traders of different levels from all over the world. LiteForex is on the list of top 100 companies according to World Finance. Our representative offices are opened in many countries.</p>
","Argentina, Brazil, Canada, Chile, Cyprus, Colombia, Germany, Indonesia, Israel, Marshall Islands, Malaysia, Mexico, Peru, Poland, Russia, Spain, Switzerland, United States of America"
24,30,"TFI Markets Limited","CySEC 117/10",1999,20+,Cyprus,"<p><img alt="""" src=""upload/Imagini_Descriere/TFI-FX_description.jpg"" style=""float:left; height:93px; width:300px"" />The TFI Group has been providing services to professional and corporate clients since 1999. Initially the Group offered its services through TFI Public Company Limited.&nbsp; From 2010 onwards the operations of the group are conducted via its 100% subsidiary TFI Markets Ltd, a licensed EU Payment Institution (Central Bank of Cyprus. License No. 115.1.2.13) and an Investment Firm regulated by the Cyprus Securities and Exchange Commission (Licence No. 117/10).</p>

<p>TFI Markets Ltd specialises in money transfers/payments, currency conversions and solutions for hedging currency risk.&nbsp; Its TFI Pay and TFI Hedge services are part of the company&rsquo;s long term strategy to provide integrated solutions to meet client&rsquo;s requirements at the most competitive rates and on a 24 hour basis.</p>
",Cyprus
25,32,"GAIN Capital Group LLC","FCA UK 190864",1999,900+,"United States of America","<p><img alt="""" src=""upload/Imagini_Descriere/Forex.com_description.png"" style=""float:left; height:165px; width:250px"" />FOREX.com is part of GAIN Capital Holdings, Inc. (NYSE: GCAP), a well-capitalized and conservatively managed firm listed on The New York Stock Exchange. As a global publicly traded company, regulated in 7 jurisdictions, we meet reassuringly high standards of corporate governance, financial reporting and disclosure.</p>

<p>In accordance with the Financial Conduct Authority (FCA) rules, all customer funds are fully segregated from our own assets. We use our own funds for hedging client trades, and we never engage in any proprietary trading.</p>
","Australia, Hong Kong, Japan, Singapore, United Kingdom, United States of America"
26,33,"Falcon Brokers Ltd","<a href=""http://www.cysec.gov.cy/licence_members_1_en.aspx"">CySEC 128/10</a>",2010,50,Cyprus,,Cyprus
27,34,"Fort Financial Services Ltd","IFSC 60/256/TS/15",2010,20+,Belize,"<p><img alt="""" src=""upload/Imagini_Descriere/FortFS_description.jpg"" style=""float:left; height:149px; width:280px"" />Looking back on how far we have come, we see a continual series of changes, each of which gradually formed what is now Fort Financial Services. Just as candlestick charts gradually give the price movements of financial markets, a series of technical and financial innovations, combined with a methodical expansion of the line of services for traders, forged the company&rsquo;s image as a reliable and modern broker.</p>

<p>The company traces its roots back to 2010, when a team of professionals, with many years of experience in international financial services, brokering, and information technologies, created the TradeFort trademark.</p>

<p>The company&rsquo;s focus is to supplement quality broker services with a full range of related services designed to increase the effectiveness of both experienced professionals and traders who are just starting out.</p>
",Belize
28,35,"RoboForex Ltd","FSC 000138/437",2009,150,Belize,"<p style=""text-align:justify""><img alt="""" src=""/upload/Imagini_Descriere/RoboForex_description.jpg"" style=""float:left; height:229px; width:250px"" /></p>

<p>RoboForex has been operating since 2009 and is regulated by the FSC, license No. 000138/437.</p>

<p>From the moment of its foundation, RoboForex has always been focused on providing best trading conditions using innovative technologies and many years of experience. RoboForex is a financial brokerage company, which offers 8 asset types and more than 12,000 instruments for trading. We&rsquo;re very proud of a variety of services we provide our clients and partners with, which are of the same quality for all, regardless their experience and amount of their investments.</p>

<p>RoboForex Ltd is an official participant of&nbsp;The Financial Commission, an international organization, which resolves disputes between its participants and their clients.</p>

<p>RoboForex Ltd, which is an &quot;A&quot; category member, also is a participant of&nbsp;The Commission&rsquo;s Compensation Fund. The Compensation Fund is a service included with Financial Commission membership which provides protection up to &euro;20,000 per case should a Member refuse to adhere to a judgment from the Financial Commission.</p>

<p><strong>RoboForex Ltd and its affiliates do not target EU/EEA/UK clients. Please be aware that you are able to receive investment services from a third-country firm at your own exclusive initiative only, taking all the risks involved.</strong></p>",N/A
29,36,"Best Choice FBC Ltd","CySEC 234/14",2010,50+,Finland,"<p>FinFX is a brand name operated and run by Best Choice FBC Ltd, a regulated company by the CySEC with license 234/14.&nbsp; If you are trading on FinFX website, this means you are trading with Best Choice FBC Ltd, a regulated company.</p>

<p>FinFX&rsquo;s core values can be summarized with the following three key values: Reliability, Offering Great Trading Conditions and Customer Focus.</p>
","Cyprus, Finland"
30,37,"Primus Global Ltd, Primus Markets Intl Ltd","<a href=""https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/42644/"">CySEC 261/14</a>, VFSC 14595",2009,200+,Cyprus,"<p><img alt="""" src=""/upload/Imagini_Descriere/FxPrimus_description.jpg"" style=""float:left; height:265px; width:400px"" /></p>

<p>FXPRIMUS provides online trading and execution services to retail and institutional clients worldwide. FXPRIMUS offers 120+ tradable financial instruments, across 6 asset classes. These are primarily foreign exchange (FX), commodities, indices and global equities.</p>

<p>The broker also provides training and educational courses through the Primus Academy, a training school that offers online FX courses and education services including seminars, online educational products, and coaching portals to existing and new clients, as well as the general public. The company offers an FX marketplace for retail clients, including investors, day traders, high-net-worth individuals, and quasi-institutional investors.</p>

<p>FXPRIMUS is the brand name used by Primus Global Ltd&nbsp;regulated by CySEC, with licence no. 261/14; Primus Markets INTL Limited, regulated by VFSC, with registration no. 14595; Primus Africa (Pty) Ltd, regulated by FSCA, with licence no. 46675.</p>
","Cyprus, Vanuatu"
31,38,"MAYZUS Investment Company Ltd","CySEC 093/08",2008,50+,Cyprus,"<p>MAYZUS Investment Company financial trading solutions successfully combines flexibility and ease-of-use with remarkable professionalism. Our trading platforms are equally suited to beginner traders, or professional clients and investors. We provide novice users with a wide range of educational materials, demo-trading accounts, LIVE accounts, user-friendly applications and live 24/5 support to ensure that even beginners feel comfortable and secure while trading. For our more experienced clients, we recommend MINI accounts, as well as Currenex Classic and Viking accounts. A variety of trading instruments, such as over 100 currency pairs, commodities, CFD Shares and Futures are indisputably assets to our offer.</p>
","Cyprus, Mexico, Russia"
32,40,"Easy Forex Trading Ltd","<a href=""http://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/37685/"">CySEC 079/07</a>, <a href=""http://www.search.asic.gov.au/cgi-bin/gfs010c?LICNO=246566&FORMID=licenceeroles&ORIGIN=flb"">ASIC 246566</a>",2003,250+,Cyprus,"<p><img alt="""" src=""upload/Imagini_Descriere/EasyMarkets_description.png"" style=""float:left; height:219px; width:280px"" />easymarkets&reg; is a leading provider of online trading services. Established in 2003, easymarkets is providing traders a world-class trading experience, in over 160 countries worldwide.</p>

<p>With one easymarkets account, traders can trade over 175 products ranging from currencies, commodities and metals, to options, using their desktop, tablet or smartphone devices.</p>

<p>easymarkets provides its traders with personalized FX training programs, Dealing Room specialists, rewarding Introducing Broker programs and innovative and competitive Partner offerings.</p>
","Australia, China, Cyprus, Poland, United Kingdom"
