broker_id,headquarters,description,offices
14,Cipru,,"Argentina, Australia, Azerbaijan, Brazil, Chile, China, Cyprus, Czech Republic, Greece, Hungary, India, Indonesia, Malaysia, New Zealand, Nigeria, Peru, Philippines, Poland, Portugal, Russian Federation, South Africa, Spain, Ukraine, United Kingdom, United States, Uruguay, Vietnam"
15,Australia,"<p><img alt="""" src=""/upload/Imagini_Descriere/ThinkMarkets_description.png"" style=""float:left; height:268px; width:300px"" />Misiunea noastră este de a facilita un mediu de tranzacționare de clasă mondială pentru Forex, metale și contracte pentru diferență.</p>

<p>Suntem dedicați să oferim tehnologie de top pentru comunitatea internațională de tranzacționare și ne străduim să livrăm unelte educaționale și resurse care le permit traderilor să &icirc;și dezvolte și mai mult aptitudinile.</p>

<p>ThinkMarkets este dedicat susținerii &icirc;ncrederii clienților prin respectarea reglementărilor &icirc;n vigoare și oferind un serviciu clienți fără egal.</p>

<p>Pentru a indeplini acest obiectiv, ThinkMarkets este concentrata pe selectarea si oferirea celei mai bune combinatii dintre platformele de tranzactionare, executia ordinelor, educatie si informatie pentru toata baza de clienti.&nbsp;</p>

<p>Lucrăm cu parteneri de &icirc;ncredere pentru a le oferi acestea, clienților noștri timp de 24 ore/zi.</p>
","Australia, Emiratele Arabe Unite, Marea Britanie"
16,Cipru,"<p><img alt="""" src=""upload/Imagini_Descriere/FXCC_description.png"" style=""float:left; height:120px; width:300px"" />FXCC este un broker reglementat care oferă o varietate de tehnologii de tranzacționare și servicii financiare. Modelul nostru de afaceri ECN/STP permite clienților să profite de prețuri transparente &icirc;n timp real. Toți clienții noștri au acces la un mediu unic de tranzacționare Forex care oferă lichiditate sofisticată utiliz&acirc;nd modelul STP (Straight Through Processing), execuție și funcționalitate de tranzacționare. Modelul nostru &bdquo;Non-Dealing Desk&rdquo; permite ordinelor clienților să fie executate automat și instantaneu prin rețeaua noastră de furnizori de lichiditate.</p>

<p>Modelul FXCC (ECN/STP) oferă anonimat total, transparență totală, execuție avansată, prețuri și spreaduri directe și competitive. Acestea creează un mediu de tranzacționare fără re-cotări și fără conflicte de interese sau discriminare &icirc;mpotriva oricărui trader sau sistem de tranzacționare forex incluz&acirc;nd sistemele automatizate și scalping.</p>
",Cipru
19,Cipru,"<p><img alt="""" src=""/upload/Imagini_Descriere/WindsorBrokers-description.png"" style=""float:left; height:183px; width:220px"" />Windsor Brokers este o firmă&nbsp;europeană&nbsp;de investiții ce oferă&nbsp;servicii de tranzacționare online pentru persoanele fizice și companii din peste 80 de țări.</p>

<p>Windsor Brokers ofera 620,000 de instrumente financiare derivate precum și active ce includ: FX, Aur, Argint, Petrol, CFD-uri pe Indici, CFD-uri pe Acțiuni, ETF-uri, Contracte Futures, Obligatiuni, FOP-uri, SSF-uri, EFP-uri, fonduri mutuale pi warranturi. Acestea pot fi tranzacționate prin platforma&nbsp;MT4 (Metatrader).</p>

<p>Windsor Brokers este licențiată&nbsp;de CySEC (Cipru), IFSC (Belize), JSC (Iordania)&nbsp;și este reglementată&nbsp;la nivel european de către toate statele membre, prin pașaportul european.</p>

<p>Rata de adecvare a capitalului (CAR) este &icirc;n acest moment &icirc;n jurul nivelului de 59%, una din cele mai mari din industria FX la nivel mondial. De-a lungul anilor, Windsor Brokers a primit numeroase premii internaționale pentru inovație, servicii și programe de parteneriat precum și pentru excelentul suport al clienților.</p>","Belize, Iordania, Seychelles"
20,Cipru,"<p><img alt="""" src=""upload/Imagini_Descriere/Orbex_description.png"" style=""float:left; height:140px; width:280px"" />Pe măsură ce continuăm să ne dezvoltăm la nivel internațional și să ne consolidăm reputația de brand internațional, principala noastră prioritate va răm&acirc;ne profitabilitatea dvs., succesul dvs. și fericirea dvs. ca și client &ndash; și așa va fi mereu.</p>

<p>Fiind un lider al pieței, e nevoie de mai mult dec&acirc;t doar utilizarea celor mai noi tehnologii. Echipa noastră experimentată este compusă dintr-un grup de profesioniști onești, de &icirc;ncredere și harnici al căror obiectiv este suportul clienților. Prioritiz&acirc;nd răspunsul imediat la &icirc;ntrebările dvs. și av&acirc;nd dorința de a extinde at&acirc;t cunoștințele noastre, c&acirc;t și ale dvs., propulsăm Orbex &icirc;n poziția de lider al pieței &icirc;n ceea ce privește inovația și serviciul pentru clienți.</p>

<p>Complet licențiat și reglementat, expertiza noastră de tranzacționare acoperă valute, metale prețioase, mărfuri, CFDuri și Futures. Cu un sediu central bine echipat &icirc;n Limassol, Cipru și o echipă experimentată din toate domeniile, Orbex Ltd. este o companie diversă, inclusivă și cu adevărat internațională.</p>","Cipru, Kuweit"
21,"Statele Unite ale Americii","<p><img alt="""" src=""upload/Imagini_Descriere/ZuluTrade_description.png"" style=""float:left; height:192px; width:350px"" />ZuluTrade a fost fondat &icirc;n 2007 de Leon Yohai și a fost creat ca replică la inexistența unei platforme online care să poată audita traderii la nivel global și &icirc;n același timp, să le permită traderilor să &icirc;și &icirc;mpărtășească cunoștințele cu cei interesați de strategiile lor.</p>

<p>Platforma ZuluTrade a acoperit distanța dintre informațiile valoroase pe piețele monetare și execuția tranzacțiilor prin conversia sfaturilor unor dintre cei mai profesioniști și talentați traderi din lume, &icirc;ntr-un serviciu care poate executa &icirc;n viteză tranzacțiile. Un alt avantaj al platformei este faptul că permite transferul tranzacțiilor selectate &icirc;n conturile brokerilor ale părților interesate. Conceptul ZuluTrade este de a oferi un mediu deschis, unde traderii pot sa se conecteze cu orice platformă la nivel global și să-și &icirc;mpărtășească cunoștințele.</p>
","Hong Kong, Statele Unite ale Americii"
22,"Grecia, Africa de Sud","<p><img alt="""" src=""/upload/Imagini_Descriere/aaafx-banner.png"" style=""float:left; height:150px; width:400px"" /></p>

<p>AAAFx are o istorie de peste un deceniu &icirc;n a oferii clienților lor globali servicii excelente și de &icirc;ncredere. AAAFx stabilește o transparență deplină cu clienții lor, astfel &icirc;nc&acirc;t aceștia să poată lua decizii bine informate.</p>

<p>AAAFx știe ce este nevoie pentru a fi un trader de succes și, prin urmare, &icirc;și propune să ofere clienților lor condiții de tranzacționare de top precum și asistență pentru aceștia. Ei sunt m&acirc;ndri să fie unul dintre cei mai de &icirc;ncredere brokeri de pe piața valutară, deservind at&acirc;t clienți de retail, c&acirc;t și clienți instituționali.</p>

<p>Managementul AAAFx este o echipă de profesioniști puternici, care au o vastă experiență de muncă pe Wall-Street. Prin urmare, ei știu exact ce este nevoie pentru a fi un trader de succes. Cu expertiza și experiența lor, ei au cunoștințe despre toate cele mai bune practici din industrie, precum și despre malpraxisurile care afectează industria.</p>

<p>AAAFx are baze solide, deoarece promovează un mediu bazat pe valori &icirc;n toate birourile lor, care este condus de credința puternică &icirc;n etica &icirc;n afaceri.</p>

<p>AAAFx are clienți mulțumiți &icirc;n peste&nbsp;176 de țări,&nbsp;profit&acirc;nd de serviciile lor de clasă mondială.</p>",Grecia
23,"Marea Britanie, Cipru, Bahamas","<p><img alt="""" src=""/upload/Imagini_Descriere/FxPro_description.jpg"" style=""float:left; height:225px; width:300px"" />FxPro a fost fondat in 2006 si de atunci a devenit unul din liderii domeniului de brokeraj. FxPro oferta Contracte pe Diferenta (CFD-uri) pe forex, futures, indici, actiuni, metale si energie.</p>

<p>Clienții FxPro beneficiază&nbsp;de acces la o plajă&nbsp;variată&nbsp;de lichidități și la trading de calitate superioară. Foarte important este că&nbsp;oferă&nbsp;posibilitatea tranzactionării pe mai multe platforme, utiliz&acirc;nd instrumente de trading și servicii care pot &icirc;ndeplini cerințele tuturor brokerilor. Brokerul operează&nbsp;sub incidența politicii de Protecție a Balanței&nbsp;Negativă&nbsp;care asigură&nbsp;clientul că&nbsp;nu va pierde niciodată&nbsp;mai mult dec&acirc;t investiția inițială.</p>

<p>&Icirc;n plus, FxPro oferă&nbsp;suport multilingvistic non-stop, resurse educaționale și instrumente de tranzacționare, ca să&nbsp;&icirc;și ajute clienții să&nbsp;devină&nbsp;traderi mai buni.</p>

<p>FxPro Group Limited este societatea holding a FxPro Financial Services Ltd, FxPro UK Limited și FxPro Global Markets Ltd. FxPro UK Limited este autorizată și reglementată de Financial Conduct Authority (nr. de &icirc;nregistrare 509956). FxPro Financial Services Ltd este autorizată și reglementată de Comisia pentru Valori Mobiliare și Burse din Cipru (licență nr. 078/07) și autorizată de Financial Sector Conduct Authority (&bdquo;FSCA&rdquo;) (autorizație nr. 45052). FxPro Global Markets Ltd este autorizată și reglementată de SCB (licență nr. SIA-F184).</p>",Monaco
24,Cipru,"<p><img alt="""" src=""upload/Imagini_Descriere/FxNet_description.jpg"" style=""float:left; height:199px; width:260px"" />Ca broker global licențiat STP, FxNet oferă condiții de tranzacționare fără egal, menite să &icirc;ndeplinească așteptările realiste at&acirc;t din parte brokerilor profesioniști c&acirc;t și a traderilor noi. De la sediul din Limassol, FxNet a creat o rețea de tranzacționare securizată și parteneriate prestigioase care permit FxNet să fie un broker securizat, transparent și de &icirc;ncredere.</p>

<p>FxNet este condus și administrat de profesioniști experimentați av&acirc;nd peste 10 ani de experiență pe piața financiară, toate duc&acirc;nd la cunoștința că un broker competent este unul care este inovator și livrează execuția &icirc;n viteză și serviciul de clienți excepțional care &icirc;l mențin pe client &icirc;n centrul atenției. Av&acirc;nd &icirc;n vedere aceasta, FxNet aspiră să-și &icirc;mbunătățească serviciile și mereu să &icirc;mbunătățească satisfacția clienților.</p>
",Cipru
25,"Sfantul Cristofor si Nevis","<p><img alt="""" src=""/upload/Imagini_Descriere/FXOpen_description.jpg"" style=""float:left; height:175px; width:300px"" />FXOpen a fost primul broker Forex care le-a oferit clienților tranzacționare ECN prin terminalul Meta Trader 4. Cu o tehnologie unică de agregare a prețurilor, clienții noștri pot beneficia de cele mai competitive spreaduri de pe piață și comisioane mici de tranzacționare.</p>

<p>&Icirc;n 2014, FXOpen a continuat să fie &icirc;n top cu ultimele progrese tehnologice și le-a oferit clienților de retail și b2b tranzacționare Bitcoin.</p>

<p>Clienții noștri pot să aleagă dintr-o varietate de conturi de tranzacționare (STP, Micro, ECN și conturi nelimitate demo) și să-și &icirc;mbunătățească capacitatea de tranzacționare cu sistemele automate Myfxbook și Zulutrade. FXOpen oferă de asemenea propria tehnologie PAMM, permiț&acirc;ndu-le clienților să beneficieze de strategii de la traderi experimentați cu un palmares de tranzacționare de succes și care garantează distribuția automată a profitului și a pierderilor &icirc;ntre furnizorul de strategie și a adepților strategiei. De asemenea, spunem bun venit traderilor islamici și le permitem să profite de tranzacționarea Forex fără să &icirc;ncalce Sharia, oferindu-le conturi fără SWAP.</p>","Australia, Egipt, Marea Britanie, Noua Zeelanda, Rusia, Sfantul Cristofor si Nevis"
27,Australia,"<p><img alt="""" src=""upload/Imagini_Descriere/pepperstone_asset.jpeg"" style=""float:left; height:140px; width:247px"" />Pepperstone asistă investitorii de retail și pe cei instituționali &icirc;n utilizarea forex și a altor instrumente ca o clasă de active și ca parte a obiectivelor de investiție. Ne străduim să oferim cele mai bune platforme de tranzacționare cu acces la prețuri scăzute, o infrastructură de tranzacționare de &icirc;ncredere, execuție &icirc;n viteză și suport clienți excepțional. Pepperstone oferă acces direct la multiple destinații de lichiditate pe piețele forex fără problemele obișnuite ale unui brokeri dealing desk, care p&acirc;nă acum au fost indisponibile pentru investitorul de retail.</p>

<p>Pepperstone a fost fondat &icirc;n 2010 de o echipă de veterani cu mulți ani experiență pe piața forex și de tehnologie. Compania are sediul &icirc;n Melbourne, Australia și are birouri &icirc;n Dallas, SUA și Shanghai, China.</p>
","Australia, China, Marea Britanie, Statele Unite ale Americii"
28,Vanuatu,"<p><img alt="""" src=""upload/Imagini_Descriere/FXCL_description.jpg"" style=""float:left; height:173px; width:300px"" />FXCL Markets Ltd. este o companie de brokeraj dedicată nevoilor dvs. de investiții și angajată să vă ajute să vă &icirc;ndepliniți obiectivele financiare. FXCL Markets Ltd. a fost &icirc;nregistrat &icirc;n Belize și este reglementat complet de Comisia de Servicii Financiare Internaționale din Belize. Astfel, compania are dreptul de a desfășura activități de brokeraj, să &icirc;ncheie &icirc;nțelegeri și să efectueze tranzacții pe piața globală valutară.</p>

<p>FXCL Markets se menține mereu &icirc;n trend cu cele mai noi tehnologii, extinz&acirc;nd &icirc;n mod regulat numărul de valute tranzacționate și utilizează softuri actualizate. &Icirc;n prezent oferim cea mai populară platformă de tranzacționare online &bdquo;MetaTrader 4&rdquo; pentru ai ajuta pe clienții noștri să-și acceseze conturile personale de oriunde din lume. Pe l&acirc;ngă tehnologiile avansate și softuri de calitate, le oferim clienților noștri și servicii de brokeraj de calitate ridicată.</p>
","Banglades, Brazilia, China, Indonezia, Laos, Malaezia, Tailanda, Ucraina, Vanuatu"
29,Cipru,"<p><img alt="""" src=""upload/Imagini_Descriere/LiteForex_description.png"" style=""float:left; height:144px; width:300px"" />Compania noastră a fost fondată &icirc;n 2005 pentru a face piața Forex accesibilă, sigură, simplă și profitabilă pentru oricine din lume.</p>

<p>Concentr&acirc;ndu-ne pe aceste scopuri, am fost primii care am creat servicii pentru conturi cent, cu o depunere de numai 1 USD. Mulțumită acestui plan, Forexul a devenit accesibil pentru sute de mii de clienți. Acest serviciu ce nu a mai fost oferit vreodată a schimbat piața Forex.</p>

<p>&Icirc;n ziua de azi LiteForex este una dintre principalele companii de brokeraj reunind traderi de diferite nivele din &icirc;ntreaga lume. LiteForex este pe lista celor mai importate 100 de companii conform World Finance. Birourile noastre sunt deschise &icirc;n peste 10 țări.</p>
","Argentina, Brazilia, Canada, Cipru, Chile, Columbia, Elvetia, Germania, Indonezia, Insulele Marshall, Israel, Malaezia, Mexic, Peru, Polonia, Rusia, Spania, Statele Unite ale Americii"
30,Cipru,"<p><img alt="""" src=""upload/Imagini_Descriere/TFI-FX_description.jpg"" style=""float:left; height:93px; width:300px"" />Grupul TFI le-a oferit servicii clienților profesioniști și corporativi din 1999. Inițial, grupul a oferit servicii prin TFI Public Company Limited. &Icirc;ncep&acirc;nd din 2010, operațiunile grupului au fost realizate 100% prin intermediul subsidiarei TFI Markets Ltd, o companie licențiată &icirc;n UE (Banca Centrală a Ciprului, Licența nr. 115.1.2.13) și o firmă de investiții reglementată de CySEC (Licența nr. 117/10).</p>

<p>TFI Markets Ltd. este specializată &icirc;n transferuri/plăți monetare, schimburi valutare și soluții de management al riscului &icirc;n hedging. Serviciile TFI Pay și TFI Hedge fac parte din strategia de termen lung a companiei de a oferi soluții integrate pentru cerințele clienților la cele mai competitive rate non-stop.</p>
",Cipru
32,"Statele Unite ale Americii","<p><img alt="""" src=""upload/Imagini_Descriere/Forex.com_description.png"" style=""float:left; height:165px; width:250px"" />FOREX.com este o parte a GAIN Capital Holdings, Inc. (NYSE: GCAP), o companie capitalizată și administrată conservator, listată pe NYSE. Ca o companie tranzacționată public, reglementată &icirc;n 7 jurisdicții, &icirc;deplinim criterii ridicate de guvernanță corporativă, raportare financiară și transparență.</p>

<p>Conform regulilor Autorității de Conduită Financiară (FCA), toate fondurile clienților sunt complet separate de activele proprii. Utilizăm propriile fonduri pentru hedgingul tranzacțiilor clienților și nu ne angajăm &icirc;n tranzacționare proprie.</p>
","Australia, Hong Kong, Japonia, Marea Britanie, Singapore, Statele Unite ale Americii"
33,Cyprus,,Cyprus
34,Belize,"<p><img alt="""" src=""upload/Imagini_Descriere/FortFS_description.jpg"" style=""float:left; height:149px; width:280px"" />Privind &icirc;n urmă la c&acirc;t de departe am ajuns, vedem o serie continuă de schimbări, fiecare dintre ele duc&acirc;nd la ceea ce este azi Fort Financial Services. Tot așa cum diagramele lum&acirc;nare indică gradual mișcările prețurilor de pe piața financiară, o serie de inovații tehnice și financiare, combinate cu o extindere sistematică a liniei de produse, au creat imaginea companiei de broker modern și de &icirc;ncredere.</p>

<p>Compania &icirc;și are rădăcinile &icirc;n anul 2010, c&acirc;nd o echipă de profesioniști, cu mulți ani de experiență &icirc;n servicii internaționale financiare, brokeraj și IT au creat marca TradeFort.</p>

<p>Compania se concentrează pe suplimentarea calității serviciilor de brokeraj cu o varietate de servicii conexe menite să crească eficacitatea, at&acirc;t a profesioniștilor experimentați c&acirc;t și a traderilor care abia &icirc;ncep.</p>
",Belize
35,Belize,"<p><img alt="""" src=""/upload/Imagini_Descriere/RoboForex_description.jpg"" style=""float:left; height:229px; width:250px"" /></p>

<p>RoboForex funcționează din 2009 și este reglementat de FSC, licență nr. 000138/437.</p>

<p>Din momentul &icirc;nființării, RoboForex s-a concentrat &icirc;ntotdeauna pe furnizarea de cele mai bune condiții de tranzacționare folosind tehnologii inovatoare și mulți ani de experiență. RoboForex este o companie de brokeraj financiar, care oferă 8 tipuri de active și peste 12.000 de instrumente pentru tranzacționare. Suntem foarte m&acirc;ndri de o varietate de servicii pe care le oferim clienților și partenerilor noștri, care sunt de aceeași calitate pentru toți, indiferent de experiența lor și de valoarea investițiilor lor.</p>

<p>RoboForex Ltd este un participant oficial al&nbsp;The Financial Commission, o organizație internațională, care rezolvă litigiile dintre participanții săi și clienții acestora.</p>

<p>RoboForex Ltd, care este un membru al categoriei &bdquo;A&rdquo;, este, de asemenea, un participant la Fondul de compensare al Comisiei. Fondul de compensare este un serviciu inclus &icirc;n calitatea de membru al Comisiei Financiare care oferă protecție de p&acirc;nă la 20.000 EUR per caz &icirc;n cazul &icirc;n care un Membru refuză să adere la o hotăr&acirc;re a Comisiei Financiare.</p>

<p><strong>RoboForex Ltd și afiliații săi nu vizează clienții UE/SEE/Marea Britanie. Vă rugăm să rețineți că puteți primi servicii de investiții de la o firmă dintr-o țară terță numai din proprie inițiativă exclusivă, asum&acirc;ndu-vă toate riscurile implicate.</strong></p>",N/A
36,Finlanda,"<p>FinFX este un nume de brand operat și condus de Best Choice FBC Ltd., o companie reglementată de CySEC cu licența nr. 234/14. Dacă tranzacționați pe siteul FinFX, aceasta &icirc;nseamnă că tranzacționați cu Best Choice FBC Ltd., o companie reglementată.</p>

<p>Valorile fundamentale FinFX pot fi rezumate &icirc;n următoarele valori cheie: responsabilitate, oferirea de condiții excelente de tranzacționare și orientarea spre client.</p>
","Cipru, Finlanda"
37,Cipru,"<p><img alt="""" src=""/upload/Imagini_Descriere/FxPrimus_description.jpg"" style=""float:left; height:265px; width:400px"" /></p>

<p>FXPRIMUS oferă&nbsp;servicii de tranzacționare online către clienți de retail și instituționali, la nivel global. FXPRIMUS oferă&nbsp;peste 120 de instrumente financiare, &icirc;mpărțite &icirc;n 6 clase de active. Majoritatea sunt perechi valutare (FX), mărfuri, indici și acțiuni globale.</p>

<p>Brokerul oferă&nbsp;de asemenea cursuri educative prin Academia Primus, o școală&nbsp;de trading ce oferă&nbsp;cursuri online de FX și servicii de genul seminarii, produse educaționale online, precum și un portal educativ at&acirc;t pentru toți clienții,&nbsp;existenți sau noi, c&acirc;t și pentru publicul larg.&nbsp;Compania oferă&nbsp;o piață&nbsp;de FX pentru clienții de retail, incluz&acirc;nd investitori, traderi activi, oameni cu venituri mari și pentru investitorii semi-instituționali.</p>

<p>FXPRIMUS este un brand folosit de Primus Global Ltd, reglementat&nbsp;de CySEC, cu licența nr. 261/14.&nbsp;Primus Markets INTL Limited, reglementat&nbsp;de VFSC, cu nr. de &icirc;nregistrare 14595.&nbsp;Primus Africa (Pty) Ltd, reglementat&nbsp;de FSCA, cu licența nr.&nbsp;46675.</p>
","Cipru, Vanuatu"
